"_defaultColorIndex","fpr","id","name","tpr"
"7","0","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0"
"7","0","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.002"
"7","0.004","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.002"
"7","0.004","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.008"
"7","0.006","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.008"
"7","0.006","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.014"
"7","0.008","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.014"
"7","0.008","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.024"
"7","0.01","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.024"
"7","0.01","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.056"
"7","0.012","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.056"
"7","0.012","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.064"
"7","0.014","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.064"
"7","0.014","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.066"
"7","0.02","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.066"
"7","0.02","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.07"
"7","0.022","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.07"
"7","0.022","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.084"
"7","0.024","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.084"
"7","0.024","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.098"
"7","0.026","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.098"
"7","0.026","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.132"
"7","0.028","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.132"
"7","0.028","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.138"
"7","0.03","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.138"
"7","0.03","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.14"
"7","0.032","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.14"
"7","0.032","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.142"
"7","0.034","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.142"
"7","0.034","5ez7q3ys","core_simple_1_200_1000_gen_cp_attack_1-10%_prefixes_eval_supp","0.144"
