"_defaultColorIndex","aucs","id","idx_T","name"
"15","0.541998","ab7zh7ta","50","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","0.490884","ab7zh7ta","100","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","0.456096","ab7zh7ta","200","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"15","0.18425400000000003","ab7zh7ta","800","core_simple_1_200_1000_no_wm_dipper_high_eval_supp"
"14","0.524212","dtrrqo1e","50","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","0.554044","dtrrqo1e","100","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","0.54454","dtrrqo1e","200","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"14","0.493348","dtrrqo1e","1000","core_simple_1_200_1000_gen_cp_attack_3-25%_eval_supp"
"13","0.5184519999999999","miei424r","50","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","0.6373359999999999","miei424r","100","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","0.6989080000000001","miei424r","200","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"13","0.618","miei424r","1000","core_simple_1_200_1000_gen_cp_attack_1-25%_eval_supp"
"0","0.6272966775233835","yeewsgls","50","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","0.6626357635275754","yeewsgls","100","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","0.7011922200520834","yeewsgls","200","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
"0","0.138214","yeewsgls","300","core_simple_1_200_1000_no_wm_gpt_p4_eval_supp"
