"Name","f_200p25m25_w_wm_output_z_score_mean","f_200p25m25_w_wm_output_log_diversity_mean","_wandb"
"pile_uspto_opt-6-7b_gen_attacked_dipper_eval","9.93567673713278","5.367558844067235",""
"core_algorithm-3_50_200_dipper_high_eval","10.057236083869284","6.858408074282982",""
"pile_pubmed_opt-6-7b_gen_attacked_dipper_eval","10.012368824207703","5.53684934877166",""
"pile_pubmed_opt-6-7b_gen_attacked_gpt_eval","10.012368824207703","5.53684934877166",""
"pile_free_law_opt-6-7b_gen_attacked_dipper_eval","7.600257655469062","6.916645869561794",""
"pile_uspto_llama-7b-base_gen_attacked_dipper_eval","7.951517813890161","5.665041133299695",""
"core_simple_1_50_200_dipper_high_eval","9.193639906069787","7.064153295557055",""
"pile_uspto_opt-6-7b_gen_attacked_gpt_eval","9.93567673713278","5.367558844067235",""
"pile_pubmed_llama-7b-base_gen_attacked_gpt_eval","7.739720886326668","6.6944816141724965",""
"core_algorithm-3_50_200_gpt_p4_eval","10.057236083869284","6.858408074282982",""
"pile_pubmed_llama-7b-base_gen_attacked_dipper_eval","7.739720886326668","6.6944816141724965",""
"pile_uspto_llama-7b-base_gen_attacked_gpt_eval","7.951517813890161","5.665041133299695",""
"core_wikitext_llama-7b-base_gpt_p4_eval","9.793739213163164","6.201035868105152",""
"pile_free_law_llama-7b-base_gen_attacked_dipper_eval","7.699818024227497","6.967575639727163",""
"pile_free_law_opt-6-7b_gen_attacked_gpt_eval","7.600257655469062","6.916645869561794",""
"core_simple_1_50_200_gpt_p4_eval","9.193639906069787","7.064153295557055",""
"pile_github_opt-6-7b_gen_attacked_gpt_eval","4.022865868685571","7.389208047489213",""
"pile_pubmed_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.3917681254105805","6.827331438201032",""
"pile_pubmed_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.3917681254105805","6.827331438201032",""
"pile_uspto_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.362766304397272","5.720114635608866",""
"pile_uspto_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.362766304397272","5.720114635608866",""
"pile_free_law_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","5.122158363214811","7.066410795768841",""
"core_c4_llama-7b-base_gpt_p4_eval","9.14120850309969","6.58741181382242",""
"pile_free_law_llama-7b-base_gen_attacked_gpt_eval","7.699818024227497","6.967575639727163",""
"pile_free_law_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","5.122158363214811","7.066410795768841",""
"pile_github_opt-6-7b_gen_attacked_dipper_eval","4.022865868685571","7.389208047489213",""
"pile_github_llama-7b-base_gen_attacked_dipper_eval","4.7631465819024585","8.065109356260503",""
"pile_github_llama-7b-vicuna-v1-1_gen_attacked_dipper_eval","3.2818430748128486","8.7689454220887",""
"pile_github_llama-7b-base_gen_attacked_gpt_eval","4.7631465819024585","8.065109356260503",""
"pile_github_llama-7b-vicuna-v1-1_gen_attacked_gpt_eval","3.2818430748128486","8.7689454220887",""
