"Name","cp_attack_effective_attack_percentage","attacked_run_len_chisqrd_statistic_roc_auc","_wandb"
"core_simple_1_100_600_gen_cp_attack_5-50%_eval","50","0.9337768175137092",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-2-pearson","95","0.535733",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-2-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-1-pearson","95","0.535733",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-1-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-0-pearson","95","0.535733",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-0-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-2-pearson","95","0.536921",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-2-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-1-pearson","95","0.536921",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-1-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-0-pearson","95","0.536921",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-0-cressie_read","95","0.537782",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-2-pearson","95","0.611376",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-2-cressie_read","95","0.5909835",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-1-pearson","95","0.6251475",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-1-cressie_read","95","0.604325",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-0-pearson","95","0.5886382426931992",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-0-cressie_read","95","0.5704763553620895",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-2-pearson","95","0.5971455000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-2-cressie_read","95","0.5909835",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-1-pearson","95","0.611801",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-1-cressie_read","95","0.604325",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-0-pearson","95","0.5781859488947934",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-0-cressie_read","95","0.5704763553620895",""
"core_simple_1_100_600_gen_cp_attack_5-25%_eval","75","0.9084786095878796",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-2-pearson","90","0.655785",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-2-cressie_read","90","0.6641170000000001",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-1-pearson","90","0.655785",""
"core_simple_1_100_600_gen_cp_attack_5-10%_T_and_F_runs-max_plus_1-True-1-cressie_read","90","0.6641170000000001",""
