"Name","cp_attack_effective_attack_percentage","attacked_z_score_roc_auc","_wandb"
"core_simple_1_100_600_gen_cp_attack_5-50%_eval","50","0.9983305",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-2-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-2-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-1-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-1-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-0-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-True-0-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-2-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-2-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-1-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-1-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-0-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_T_and_F_runs-max_plus_1-False-0-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-2-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-2-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-1-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-1-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-0-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-True-0-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-2-pearson","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-2-cressie_read","95","0.6579265000000001",""
"core_simple_1_100_600_gen_cp_attack_5-5%_F_succ_T_runs-max_plus_1-False-1-pearson","95","0.6579265000000001",""
