"Name","context_width","attacked_z_score_roc_auc","_wandb"
"scheme_simple_1_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9347107619301792",""
"scheme_ff-skipgram_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.7743390092448207",""
"scheme_ff-skipgram_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.7547534687936696",""
"scheme_ff-skipgram_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.8906114835640138",""
"scheme_ff-skipgram_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.856699173553719",""
"scheme_ff-skipgram_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9523392430511042",""
"scheme_ff-skipgram_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.926738683127572",""
"scheme_ff-skipgram_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9420825396825396",""
"scheme_ff-skipgram_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9580592917021596",""
"scheme_ff-minhash_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.8848706026720007",""
"scheme_ff-minhash_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.891349189866556",""
"scheme_ff-minhash_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.9384687679726184",""
"scheme_ff-minhash_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.9086854627283796",""
"scheme_ff-minhash_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9356430213980966",""
"scheme_ff-minhash_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9491571316272164",""
"scheme_ff-minhash_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9443192743764172",""
"scheme_ff-minhash_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9648903772543314",""
"scheme_ff-anchored_skipgram_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.7269706608901843",""
"scheme_ff-anchored_skipgram_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.735986537145208",""
"scheme_ff-anchored_skipgram_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.896372009784276",""
"scheme_ff-anchored_skipgram_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.8307504119194277",""
"scheme_ff-anchored_skipgram_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9253793011739972",""
"scheme_ff-anchored_skipgram_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9120858920766328",""
"scheme_ff-anchored_skipgram_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.955571499329876",""
"scheme_ff-anchored_skipgram_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9529015584619",""
"scheme_ff-anchored_minhash_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.9327389248867752",""
"scheme_ff-anchored_minhash_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.8523066134720388",""
"scheme_ff-anchored_minhash_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.9620010288065844",""
"scheme_ff-anchored_minhash_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.9162901676319892",""
"scheme_ff-anchored_minhash_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9747115384615384",""
"scheme_ff-anchored_minhash_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.946368484903976",""
"scheme_ff-anchored_minhash_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9804116938976232",""
"scheme_ff-anchored_minhash_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9458432288102618",""
"scheme_ff-additive_prf-8-True_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.6882535781911339",""
"scheme_ff-additive_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.6586888657648283",""
"scheme_ff-additive_prf-4-True_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.8524150268336316",""
"scheme_ff-additive_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.7966320877381424",""
"scheme_ff-additive_prf-2-True_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9295303240241436",""
"scheme_ff-additive_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9281063433858932",""
"scheme_algorithm-3_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.9500291495198904",""
"scheme_ff-additive_prf-1-True_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9688707482993196",""
"scheme_ff-additive_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9212277091906722",""
