"Name","context_width","attacked_z_score_roc_auc","_wandb"
"scheme_simple_1_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9347107619301792",""
"scheme_ff-skipgram_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.7547534687936696",""
"scheme_ff-skipgram_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.856699173553719",""
"scheme_ff-skipgram_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.926738683127572",""
"scheme_ff-skipgram_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9580592917021596",""
"scheme_ff-minhash_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.891349189866556",""
"scheme_ff-minhash_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.9086854627283796",""
"scheme_ff-minhash_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9491571316272164",""
"scheme_ff-minhash_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9648903772543314",""
"scheme_ff-additive_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","0.6586888657648283",""
"scheme_ff-additive_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","0.7966320877381424",""
"scheme_ff-additive_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","0.9281063433858932",""
"scheme_ff-additive_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","0.9212277091906722",""
