"Name","context_width","f_200p25m25_w_wm_output_log_diversity_mean","_wandb"
"scheme_simple_1_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.349437575148407",""
"scheme_ff-skipgram_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","9.889295724725509",""
"scheme_ff-skipgram_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","10.014620514040956",""
"scheme_ff-skipgram_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","8.063544051529705",""
"scheme_ff-skipgram_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.4412893471068715",""
"scheme_ff-minhash_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","8.23345600025183",""
"scheme_ff-minhash_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","8.050744556645528",""
"scheme_ff-minhash_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","7.450713788163014",""
"scheme_ff-minhash_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.4412893471068715",""
"scheme_ff-additive_prf-8-False_0-25_4-0_gen_gpt_attacked_gpt_eval","8","10.293199949594843",""
"scheme_ff-additive_prf-4-False_0-25_4-0_gen_gpt_attacked_gpt_eval","4","9.427003311211626",""
"scheme_ff-additive_prf-1-False_0-25_4-0_gen_gpt_attacked_gpt_eval","1","6.349437575148407",""
"scheme_ff-additive_prf-2-False_0-25_4-0_gen_gpt_attacked_gpt_eval","2","8.315199721912359",""
